folio,sign,ring,slot,n_slots_in_ring,clock,angle_deg,eva_label,eva_label_clean,figure_type,holds_star,central_sign_desc,confidence,image_file,notes
f71r,Aries-B,1,1,10,00:00,0.0,oteoaldy,oteoaldy,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,2,10,01:00,30.0,oteolar,oteolar,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,3,10,02:00,60.0,okeoaly,okeoaly,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,4,10,03:00,90.0,otaleky,otaleky,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,5,10,04:30,135.0,otalsar,otalsar,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,6,10,05:30,165.0,cheary,cheary,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,7,10,07:00,210.0,oteotey.rary,oteotey.rary,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,8,10,08:30,255.0,otalaly,otalaly,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,9,10,10:00,300.0,oteos.arar,oteos.arar,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,10,10,11:00,330.0,okldam,okldam,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,2,1,5,00:30,15.0,otoloaram,otoloaram,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,2,2,5,03:30,105.0,oteeol,oteeol,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,2,3,5,05:30,165.0,otolchd,otolchd,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,2,4,5,08:00,240.0,otaldar,otaldar,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,2,5,5,11:00,330.0,otolchdy,otolchdy,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71v,Taurus-A,1,1,10,00:00,0.0,okolar,okolar,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,2,10,01:00,30.0,otchody,otchody,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,3,10,02:00,60.0,alcphy,alcphy,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,4,10,03:00,90.0,otaiin,otaiin,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,5,10,04:30,135.0,okaraiin,okaraiin,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,6,10,05:30,165.0,"otar.ar,aly","otar.ar,aly",tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,7,10,07:00,210.0,opalar.am.dan,opalar.am.dan,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,8,10,09:00,270.0,opalor.ar,opalor.ar,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,9,10,10:00,300.0,char.arom,char.arom,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,1,10,10,11:00,330.0,chfaly,chfaly,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,2,1,5,00:00,0.0,otalody,otalody,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,2,2,5,03:00,90.0,otalaiin,otalaiin,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,2,3,5,05:30,165.0,otar.sh[a:o]r,otar.shar,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,2,4,5,08:30,255.0,sholshdy,sholshdy,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f71v,Taurus-A,2,5,5,10:00,300.0,ofa{if}om,ofaom,tub,1,red-brown horned quadruped eating from a green manger,high,f71v_region.jpg,
f72r1,Taurus-B,1,1,10,00:00,0.0,"oaiin,ar,ary","oaiin,ar,ary",tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,2,10,01:00,30.0,okalam,okalam,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,3,10,02:00,60.0,ytalshdy,ytalshdy,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,4,10,03:00,90.0,char.alif,char.alif,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,5,10,03:30,105.0,otaraldy,otaraldy,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,6,10,05:00,150.0,otaiin.otain,otaiin.otain,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,7,10,07:00,210.0,"otalef,ys.ainam","otalef,ys.ainam",tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,8,10,08:30,255.0,"ochol,sharam","ochol,sharam",tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,9,10,09:30,285.0,oshod[a:o]dy,oshodady,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,1,10,10,10:30,315.0,chdaiirdainy,chdaiirdainy,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,2,1,5,00:00,0.0,otchoshy,otchoshy,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,2,2,5,02:00,60.0,otchdal,otchdal,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,2,3,5,04:00,120.0,okeey.ary,okeey.ary,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,2,4,5,07:00,210.0,otainy,otainy,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r1,Taurus-B,2,5,5,09:00,270.0,ofaralar,ofaralar,tub,1,red bull eating from a green basket/manger,high,f72r1_region.jpg,
f72r2,Gemini,1,1,5,00:00,0.0,okaram,okaram,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,1,2,5,00:30,15.0,okairy,okairy,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,1,3,5,01:00,30.0,okealar,okealar,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,1,4,5,10:30,315.0,ofchdamy,ofchdamy,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,1,5,5,11:00,330.0,oklairdy,oklairdy,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,1,15,00:15,7.5,okaly,okaly,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,2,15,01:00,30.0,okal,okal,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,3,15,02:00,60.0,okeey.ary,okeey.ary,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,4,15,03:00,90.0,oteeary,oteeary,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,5,15,04:00,120.0,"otair,dy","otair,dy",nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,6,15,05:00,150.0,okaircham,okaircham,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,7,15,06:00,180.0,okeal,okeal,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,8,15,06:30,195.0,otar{cr},otar,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,9,15,07:30,225.0,okaly,okaly,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,10,15,08:00,240.0,orary,orary,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,11,15,09:00,270.0,okyd,okyd,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
f72r2,Gemini,2,12,15,09:30,285.0,otolam,otolam,nymph-nude,1,man (green) and woman (blue) clasping hands,high,f72r2_region.jpg,
